"Title","ID","State","Session","Chamber","Introduction Date"
"RELATING TO TRANSPORTATION.","SB 1214","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO PROSTITUTION.","SB 192","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO ECONOMIC DEVELOPMENT.","SB 1349","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO ENERGY INFORMATION REPORTING.","HB 811","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO THE STATE BUILDING CODE.","HB 763","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"MAKING AN APPROPRIATION TO RECAPITALIZE THE HURRICANE RESERVE TRUST FUND.","SB 1092","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO BREASTFEEDING IN THE WORKPLACE.","SB 532","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO CONTRACTS.","SB 1265","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"MAKING AN APPROPRIATION TO THE EMERGENCY AND BUDGET RESERVE FUND.","SB 1094","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO THE UNIFORM MEDIATION ACT.","SB 966","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO HUMAN TRAFFICKING.","HB 1187","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO THE RESEARCH CORPORATION OF THE UNIVERSITY OF HAWAII.","SB 1388","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO FOSTER CARE.","SB 1340","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO THE PACIFIC INTERNATIONAL SPACE CENTER FOR EXPLORATION SYSTEMS.","SB 1256","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO HIGHER EDUCATION.","SB 1221","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"MAKING APPROPRIATIONS FOR COLLECTIVE BARGAINING COST ITEMS.","SB 911","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO TRANSPORTATION OF SCHOOL CHILDREN.","SB 1082","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO ISLAND BURIAL COUNCILS.","SB 407","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO TRANSPORTATION OF SCHOOL CHILDREN.","SB 1083","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO HEALTH.","HB 120","hi","2013 Regular Session","lower","2013-01-17 00:00:00"
"RELATING TO WATER CONSERVATION.","SB 454","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO THE ISSUANCE OF SPECIAL PURPOSE REVENUE BONDS TO ASSIST A SEAWATER PROJECT.","SB 1280","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO BROADBAND.","HB 635","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO TIMESHARE CONVEYANCES.","HB 424","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO INFORMATION TECHNOLOGY.","SB 1003","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO HEALTH.","SB 655","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO RENEWABLE ENERGY.","SB 19","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO THE HAWAII EMPLOYER-UNION HEALTH BENEFITS TRUST FUND.","HB 546","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO PUBLIC WORKS OF ART.","SB 614","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO PROCUREMENT.","HB 1374","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO THE KAHO‘OLAWE ISLAND RESERVE.","HB 1328","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO IRRIGATION.","HB 1263","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO RECYCLING.","HB 899","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO ENFORCEMENT TOOLS TO IMPROVE PATIENT SAFETY.","HB 847","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO THE ELDERLY.","SB 102","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO HUMAN SERVICES.","HB 1207","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO THE PENAL CODE.","SB 978","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO ANIMALS.","SB 328","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO PUBLIC LANDS.","HB 1268","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO CAUCUS LEADERS OF THE HOUSE OF REPRESENTATIVES OF THE TWENTY-SEVENTH LEGISLATURE.","HR 218","hi","2013 Regular Session","lower","2013-05-02 00:00:00"
"RELATING TO SMALL BOAT HARBORS.","HB 1412","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO AGRICULTURE.","HB 353","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO AFFORDABLE HOUSING URBAN GARDENING.","HB 560","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO PUBLIC LANDS.","SB 5","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO THE DEPOSIT BEVERAGE CONTAINER PROGRAM.","SB 1133","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO MENTAL HEALTH TREATMENT.","SB 310","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO MENTAL HEALTH.","SB 44","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO THE DIETITIAN LICENSURE SPECIAL FUND.","SB 1124","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO ELECTION OFFENSES.","SB 827","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO AGRICULTURAL LOANS.","SB 993","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO ANIMAL CRUELTY.","SB 635","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO AGRICULTURE.","SB 593","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO THE UNIVERSITY OF HAWAII.","SB 606","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO AGRICULTURE.","SB 757","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO HUMAN SERVICES.","HB 398","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO GREEN INFRASTRUCTURE.","SB 1087","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO AGRICULTURAL BUILDING PERMITS.","SB 586","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO EMERGENCY MEDICAL SERVICES.","SB 498","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO HEALTH CARE ADMINISTRATIVE UNIFORMITY.","HB 656","hi","2013 Regular Session","lower","2013-01-19 00:00:00"
"RELATING TO HOUSING.","SB 515","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO ANIMALS.","SB 9","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO CARE HOMES.","HB 529","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO AGING.","SB 106","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO PHYSICAL THERAPY.","SB 1074","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO HUMAN SERVICES.","HB 1430","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO THE ACQUISITION OF RESOURCE VALUE LANDS.","HB 1424","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO HEALTH.","HB 672","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO LANGUAGE ACCESS.","HB 266","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO COLLECTION OF RESTITUTION FOR CRIME VICTIMS.","HB 235","hi","2013 Regular Session","lower","2013-01-17 00:00:00"
"RELATING TO FORECLOSURES.","SB 960","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO FIRE PROTECTION.","SB 682","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO HOMELAND SECURITY.","SB 680","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO PROFESSIONAL AND VOCATIONAL LICENSING.","HB 1381","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO REMOTE DISPENSING.","HB 652","hi","2013 Regular Session","lower","2013-01-19 00:00:00"
"RELATING TO CONDOMINIUMS.","SB 505","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO PUBLIC HOUSING.","HB 536","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO PRESCRIPTION DRUGS.","HB 65","hi","2013 Regular Session","lower","2013-01-16 00:00:00"
"RELATING TO PHARMACY BENEFITS MANAGERS.","HB 62","hi","2013 Regular Session","lower","2013-01-16 00:00:00"
"RELATING TO ANIMAL CRUELTY.","SB 6","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO PLANNED COMMUNITY ASSOCIATIONS.","SB 507","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO THE OWNER-BUILDER EXEMPTION.","SB 1077","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO DENTAL SERVICE CORPORATIONS.","SB 1073","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO PROFESSIONAL EMPLOYER ORGANIZATIONS.","HB 144","hi","2013 Regular Session","lower","2013-01-17 00:00:00"
"RELATING TO REAL ESTATE SELLER DISCLOSURE.","SB 502","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO BUSINESS.","HB 1202","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO INSURANCE.","HB 999","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO HEALTH INSURANCE.","HB 848","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO INSURANCE.","HB 841","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO PERSONAL INFORMATION.","HB 1287","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO THE HAWAII PUBLIC HOUSING AUTHORITY.","SB 1118","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO THE DEPARTMENT OF EDUCATION.","SB 48","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO HEALTH.","HB 668","hi","2013 Regular Session","lower","2013-01-19 00:00:00"
"RELATING TO EDUCATION.","SB 46","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO SUSPENSION OF FORECLOSURE ACTIONS BY JUNIOR LIENHOLDERS.","HB 25","hi","2013 Regular Session","lower","2013-01-16 00:00:00"
"RELATING TO PORTABLE ELECTRONICS INSURANCE.","SB 345","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO CONDOMINIUMS.","HB 21","hi","2013 Regular Session","lower","2013-01-16 00:00:00"
"RELATING TO TELEMEDICINE.","SB 548","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO CONTINUING EDUCATION.","HB 178","hi","2013 Regular Session","lower","2013-01-17 00:00:00"
"RELATING TO HEALTH.","SB 642","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO SECTION 237-24.3, HAWAII REVISED STATUTES.","SB 1193","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO PUBLIC SAFETY.","HB 1279","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO THE NURSING FACILITY SUSTAINABILITY PROGRAM.","HB 880","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"MAKING APPROPRIATIONS FOR PUBLIC EMPLOYMENT COST ITEMS.","HB 697","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO THE HOUSING LOAN AND MORTGAGE PROGRAM.","SB 1025","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO THE TRICARE PROGRAM.","SB 933","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO COLLECTIVE BARGAINING.","SB 883","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO PUBLIC HOUSING.","SB 84","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO PATERNITY.","SB 516","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO THE HOSPITAL SUSTAINABILITY PROGRAM.","HB 879","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO ESCROW DEPOSITORIES.","SB 1067","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO EDUCATION.","SB 244","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO EDUCATION.","SB 239","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO INTOXICATING LIQUORS IN PUBLIC HOUSING.","SB 88","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO TRANSIENT ACCOMMODATIONS TAX.","SB 1194","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO THE BUDGET OF THE OFFICE OF HAWAIIAN AFFAIRS.","HB 222","hi","2013 Regular Session","lower","2013-01-17 00:00:00"
"RELATING TO SECURITIES LAW.","SB 1066","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO DISPOSITION OF PERSONAL PROPERTY ON PUBLIC HOUSING PROPERTIES.","HB 888","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO THE STATE EDUCATIONAL FACILITIES IMPROVEMENT SPECIAL FUND.","SB 458","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO CASH ECONOMY ENFORCEMENT.","SB 1196","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO A MEMORIAL.","SB 551","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO PUBLIC SCHOOL LANDS.","SB 237","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO THE HAWAII PUBLIC HOUSING AUTHORITY.","SB 82","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO PUBLIC HOUSING.","HB 514","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO HEALTH CARE.","SB 1336","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO GENERAL EXCISE TAX.","SB 1360","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO BONDS.","SB 403","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO RURAL AREAS.","SB 1339","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO EXEMPTIONS FROM CHILD CARE LICENSING.","SB 1106","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO MONEY TRANSMITTERS.","SB 1068","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO STATE BONDS.","HB 51","hi","2013 Regular Session","lower","2013-01-16 00:00:00"
"RELATING TO THE STATE BUDGET.","HB 200","hi","2013 Regular Session","lower","2013-01-17 00:00:00"
"RELATING TO THE JUDICIARY.","HB 197","hi","2013 Regular Session","lower","2013-01-17 00:00:00"
"RELATING TO SCHOOL READINESS.","SB 1093","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO MORTGAGE LOAN ORIGINATION.","SB 1069","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO THE CORRECTIONS POPULATION MANAGEMENT COMMISSION.","HB 218","hi","2013 Regular Session","lower","2013-01-17 00:00:00"
"RELATING TO DEVELOPMENT OF PUBLIC HOUSING.","SB 305","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO PUBLIC HOUSING.","HB 87","hi","2013 Regular Session","lower","2013-01-17 00:00:00"
"MAKING APPROPRIATIONS FOR COLLECTIVE BARGAINING COST ITEMS.","SB 909","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO FINANCIAL INSTITUTIONS.","SB 1071","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO CERTAIN FUNDS UNDER THE DEPARTMENT OF LABOR AND INDUSTRIAL RELATIONS.","HB 928","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO COLLECTIVE BARGAINING.","HB 924","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO THE EMPLOYMENT AND TRAINING FUND.","HB 918","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO THE EMPLOYEES' RETIREMENT SYSTEM.","HB 808","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO AEROSPACE.","SB 697","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO THE ISSUANCE OF SPECIAL PURPOSE REVENUE BONDS FOR HAWAI‘I PACIFIC HEALTH.","HB 653","hi","2013 Regular Session","lower","2013-01-19 00:00:00"
"RELATING TO CAMPAIGN SPENDING.","SB 31","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO STARLIGHT RESERVE.","HB 471","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO BUREAU OF CONVEYANCES.","HB 423","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO AGRICULTURE.","SB 482","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO THE HAWAII LABOR RELATIONS BOARD.","SB 890","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO IRRIGATION WATER DEVELOPMENT.","SB 995","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO PUBLIC DISCLOSURE OF FINANCIAL INTERESTS STATEMENTS.","HB 1132","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO THRILL CRAFT.","SB 319","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO EMPLOYMENT AND TRAINING ASSESSMENT.","HB 929","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO STATE FUNDS.","HB 504","hi","2013 Regular Session","lower","2013-01-18 00:00:00"
"RELATING TO CAMPAIGN SPENDING.","HB 1147","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO FAMILY COURT.","HB 1137","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO CIVIL AIR PATROL.","HB 1136","hi","2013 Regular Session","lower","2013-01-23 00:00:00"
"RELATING TO TRANSPORTATION.","HB 977","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO VESSELS.","SB 1161","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO THE PUBLIC UTILITIES COMMISSION.","SB 1042","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO AGRICULTURE.","SB 326","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO WORKFORCE DEVELOPMENT.","HB 749","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO FEDERAL TAX QUALIFICATION OF THE EMPLOYEES' RETIREMENT SYSTEM.","HB 805","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO COASTAL AREAS.","HB 17","hi","2013 Regular Session","lower","2013-01-16 00:00:00"
"RELATING TO THE HAWAII PAROLING AUTHORITY.","SB 1176","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"RELATING TO WORKERS' COMPENSATION MEDICAL FEE SCHEDULES.","HB 152","hi","2013 Regular Session","lower","2013-01-17 00:00:00"
"RELATING TO THE ISSUANCE OF SPECIAL PURPOSE REVENUE BONDS TO ASSIST A PROCESSING ENTERPRISE.","HB 1388","hi","2013 Regular Session","lower","2013-01-24 00:00:00"
"RELATING TO HIGHWAYS.","SB 1209","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"REQUESTING THE STATE FOUNDATION ON CULTURE AND THE ARTS TO DISPLAY ALL WORKS OF ART IN ITS COLLECTION AND TO MAKE PUBLICLY AVAILABLE ON THE INTERNET PHOTOGRAPHS AND INFORMATION OF EVERY WORK OF ART IN THE FOUNDATION'S COLLECTION.","SCR 141","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"RELATING TO HOLIDAYS.","SB 856","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO PESTICIDES.","HB 673","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO THE ISSUANCE OF SPECIAL PURPOSE REVENUE BONDS TO ASSIST A SEAWATER AIR CONDITIONING PROJECT.","SB 23","hi","2013 Regular Session","upper","2013-01-17 00:00:00"
"RELATING TO OCCUPATIONAL SAFETY AND HEALTH HEARINGS.","SB 877","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO WASHINGTON PLACE.","HB 762","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO NONPROFIT CORPORATIONS.","HB 791","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"RELATING TO GOVERNMENT.","SB 722","hi","2013 Regular Session","upper","2013-01-18 00:00:00"
"RELATING TO THE SERVICE OF PROCESS.","HB 951","hi","2013 Regular Session","lower","2013-01-22 00:00:00"
"DESIGNATING MARCH AS BRAIN INJURY AWARENESS MONTH.","SR 111","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE STATE FOUNDATION ON CULTURE AND THE ARTS TO DISPLAY ALL WORKS OF ART IN ITS COLLECTION AND TO MAKE PUBLICLY AVAILABLE ON THE INTERNET PHOTOGRAPHS AND INFORMATION OF EVERY WORK OF ART IN THE FOUNDATION'S COLLECTION.","SR 102","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"REQUESTING THE BOARD OF EDUCATION TO RESEARCH STATE MODELS AND BEST PRACTICES ON HOME SCHOOLED STUDENT PARTICIPATION IN PUBLIC SCHOOL EXTRACURRICULAR ACTIVITIES AND SPORTS AND EXPLORE IMPLEMENTATION OF SUCH A PROGRAM IN HAWAII.","SCR 76","hi","2013 Regular Session","upper","2013-03-07 00:00:00"
"REQUESTING THE AUDITOR TO CONDUCT A REVIEW OF THE PROFESSIONAL AND VOCATIONAL LICENSING DIVISION'S FORTY-EIGHT LICENSING AREAS AND RECOMMEND WHETHER ANY OF THE LICENSING BOARDS, COMMISSIONS, OR PROGRAMS OR THEIR ADMINISTRATIVE FUNCTIONS COULD BE STREAMLINED OR CONSOLIDATED.","SR 60","hi","2013 Regular Session","upper","2013-03-11 00:00:00"
"URGING THE CITY AND COUNTY OF HONOLULU DEPARTMENT OF PARKS AND RECREATION TO RECONSIDER ITS DENIAL TO PERMIT RECREATIONAL HORSEBACK RIDING ON WAIKANE TRAIL.","SR 120","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"DESIGNATING OCTOBER 2 OF EACH YEAR AS THE "INTERNATIONAL DAY OF NON-VIOLENCE" IN HAWAII IN HONOR OF MAHATMA GANDHI ON HIS BIRTH DATE.","SR 141","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"URGING THE GOVERNOR TO STRIVE TO ACHIEVE OR MAINTAIN GENDER EQUITY IN THE NOMINATIONS AND APPOINTMENTS OF MEMBERS TO STATE BOARDS AND COMMISSIONS.","SR 66","hi","2013 Regular Session","upper","2013-03-12 00:00:00"
"URGING HAWAII RESIDENTS AND BUSINESSES TO COMPLY WITH THE CONVENTION ON INTERNATIONAL TRADE IN ENDANGERED SPECIES OF WILD FAUNA AND FLORA AND NOT TO BUY OR SELL IVORY OF UNKNOWN ORIGIN THAT MAY HAVE BEEN ILLEGALLY SMUGGLED INTO THE STATE.","SR 108","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
"APPROVING THE SALE OF THE LEASED FEE INTEREST IN 95-011 KUAHELANI AVENUE, NO. 111, MILILANI, HAWAII.","SCR 12","hi","2013 Regular Session","upper","2013-01-24 00:00:00"
"REQUESTING THE DEPARTMENT OF TRANSPORTATION TO ADOPT RULES TO ENCOURAGE TAXIS TO USE HIGH EFFICIENCY VEHICLES, INCLUDING HYBRID ELECTRIC VEHICLES, AT HONOLULU INTERNATIONAL AIRPORT.","SR 144","hi","2013 Regular Session","upper","2013-03-13 00:00:00"
