"Action","Bill ID","Date","Actor"
"Reported from Conference Committee (Conf Com. Rep. No. 118) as amended in (CD 1).","HB 430","2013-04-26 00:00:00","lower"
"Forty-eight (48) hours notice Tuesday 04-30-13.","HB 430","2013-04-26 00:00:00","lower"
"Reported from Conference Committee as amended CD 1 (Conf. Com. Rep. No. 118).","HB 430","2013-04-26 00:00:00","upper"
"48 Hrs. Notice (as amended CD 1) 04-30-13.","HB 430","2013-04-26 00:00:00","upper"
"Passed Final Reading, as amended (CD 1). 25 Aye(s); Aye(s) with reservations: none . 0 No(es): none.  0 Excused: none.","HB 430","2013-04-30 00:00:00","upper"
"Passed Final Reading as amended in CD 1 with Representative(s) Har voting aye with reservations; Representative(s) Jordan, Rhoads voting no (2) and none excused (0).","HB 430","2013-04-30 00:00:00","lower"
"Received notice of Final Reading (Sen. Com. No. 755).","HB 430","2013-05-01 00:00:00","lower"
"Received notice of passage on Final Reading in House (Hse. Com. No. 761).","HB 430","2013-05-02 00:00:00","upper"
"Transmitted to Governor.","HB 430","2013-05-07 00:00:00","lower"
"Act 256, on 7/2/2013 (Gov. Msg. No. 1359).","HB 430","2013-07-09 00:00:00","lower"
"Act 256, 7/2/2013 (Gov. Msg. No. 1359).","HB 430","2013-07-09 00:00:00","upper"
"Introduced.","SB 867","2013-01-18 00:00:00","upper"
"Passed First Reading.","SB 867","2013-01-22 00:00:00","upper"
"Referred to JDL, WAM.","SB 867","2013-01-22 00:00:00","upper"
"The committee(s) on JDL has scheduled a public hearing on 02-11-13 10:00AM in conference room 016.","SB 867","2013-02-08 00:00:00","upper"
"The committee(s) on  JDL recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in JDL were as follows: 4 Aye(s): Senator(s) Hee, Shimabukuro, Gabbard; Aye(s) with reservations: Senator(s) Ihara ; 1 No(es): Senator(s) Slom; and 0 Excused: none.","SB 867","2013-02-11 00:00:00","upper"
"Reported from JDL (Stand. Com. Rep. No. 279) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.","SB 867","2013-02-14 00:00:00","upper"
"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.","SB 867","2013-02-14 00:00:00","upper"
"The committee(s) on WAM will hold a public decision making on 02-21-13  9:00AM in conference room 211.","SB 867","2013-02-19 00:00:00","upper"
"The committee(s) on  WAM recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WAM were as follows: 12 Aye(s): Senator(s) Ige, Kidani, Chun Oakland, Dela Cruz, English, Espero, Kahele, Keith-Agaran, Ruderman, L. Thielen, Tokuda; Aye(s) with reservations: Senator(s) Slom ; 0 No(es): none; and 1 Excused: Senator(s) Kouchi.","SB 867","2013-02-21 00:00:00","upper"
"Reported from WAM (Stand. Com. Rep. No. 803) with recommendation of passage on Third Reading, as amended (SD 2).","SB 867","2013-03-01 00:00:00","upper"
"48 Hrs. Notice 03-05-13.","SB 867","2013-03-01 00:00:00","upper"
"Report adopted; Passed Third Reading, as amended (SD  2). Ayes, 25; Aye(s) with reservations: none .  Noes, 0 (none). Excused, 0 (none).  Transmitted to House.","SB 867","2013-03-05 00:00:00","upper"
"Received from Senate (Sen. Com. No. 217) in amended form (SD 2).","SB 867","2013-03-05 00:00:00","lower"
"Pass First Reading","SB 867","2013-03-07 00:00:00","lower"
"Referred to LAB, FIN, referral sheet 30","SB 867","2013-03-07 00:00:00","lower"
"Bill scheduled to be heard by LAB on Tuesday, 03-12-13  9:00AM in House conference room 309.","SB 867","2013-03-08 00:00:00","lower"
"The committees on LAB recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 9 Ayes: Representative(s) Nakashima, Hashem, Aquino, Ichiyama, Ing, Takumi, Yamane, Yamashita, Johanson; Ayes with reservations: none;  Noes: none; and  Excused: none.   ","SB 867","2013-03-12 00:00:00","lower"
"Reported from LAB (Stand. Com. Rep. No. 1136) as amended in HD 1, recommending passage on Second Reading and referral to FIN.","SB 867","2013-03-22 00:00:00","lower"
"Passed Second Reading as amended in HD 1 and referred to the committee(s) on FIN with Representative(s) Fale, Ward voting aye with reservations; none voting no (0) and Representative(s) McKelvey, Takumi, Woodson excused (3).","SB 867","2013-03-22 00:00:00","lower"
"Bill scheduled to be heard by FIN on Tuesday, 04-02-13  2:00PM in House conference room 308.","SB 867","2013-03-28 00:00:00","lower"
"The committees on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Luke, Nishimoto, Johanson, Cullen, Hashem, Ing, Jordan, Kobayashi, Lowen, Morikawa, Onishi, Takayama, Tokioka, Yamashita, Fukumoto; Ayes with reservations: none;  Noes: none; and 2 Excused: Representative(s) Woodson, Ward.","SB 867","2013-04-02 00:00:00","lower"
"Reported from FIN (Stand. Com. Rep. No. 1595), recommending passage on Third Reading.","SB 867","2013-04-05 00:00:00","lower"
"Passed Third Reading with Representative(s) Fale, Kawakami, Oshiro, Say, Tokioka voting aye with reservations; none voting no (0) and none excused (0).  Transmitted to Senate.","SB 867","2013-04-09 00:00:00","lower"
"Received from House (Hse. Com. No. 553).","SB 867","2013-04-11 00:00:00","upper"
"Senate disagrees with House amendments.","SB 867","2013-04-11 00:00:00","upper"
"Received notice of disagreement (Sen. Com. No. 607).","SB 867","2013-04-11 00:00:00","lower"
"Received notice of Senate conferees (Sen. Com. No. 692).","SB 867","2013-04-15 00:00:00","lower"
"Senate Conferees appointed: Hee, Chair; Ige, Co-Chair(s); Kouchi, L. Thielen, Slom.","SB 867","2013-04-15 00:00:00","upper"
"House conferees appointed: Nakashima, Hashem Co-Chairs; Yamashita, Johanson.","SB 867","2013-04-15 00:00:00","lower"
"Received notice of appointment of House conferees (Hse. Com. No. 699).","SB 867","2013-04-16 00:00:00","upper"
"Conference committee meeting scheduled for 04-19-13  1:15PM in conference room 325.","SB 867","2013-04-18 00:00:00","upper"
"Conference committee meeting to reconvene on 04-24-13 10:30AM in conference room 325.","SB 867","2013-04-19 00:00:00","upper"
"Conference committee meeting to reconvene on 04-25-13 10:30AM in conference room 325.","SB 867","2013-04-24 00:00:00","upper"
"Conference committee meeting to reconvene on 04-26-13 10:30AM in conference room 325.","SB 867","2013-04-25 00:00:00","upper"
"The Conference committee recommends that the measure be PASSED, WITH AMENDMENTS. The votes of the Senate Conference Managers were as follows: 4 Aye(s): Senator(s) Hee, Ige, Kouchi, L. Thielen; Aye(s) with reservations: none ; 0 No(es): none; and 1 Excused: Senator(s) Slom.","SB 867","2013-04-26 00:00:00","upper"
"The Conference Committee recommends that the measure be Passed, with Amendments. The votes were as follows: 4 Ayes: Representative(s) Nakashima, Hashem, Yamashita, Johanson; Ayes with reservations: none; 0 Noes: none; and 0 Excused: none.","SB 867","2013-04-26 00:00:00","lower"
"Reported from Conference Committee as amended CD 1 (Conf. Com. Rep. No. 149).","SB 867","2013-04-26 00:00:00","upper"
"48 Hrs. Notice (as amended CD 1) 04-30-13.","SB 867","2013-04-26 00:00:00","upper"
"Reported from Conference Committee (Conf Com. Rep. No. 149) as amended in (CD 1).","SB 867","2013-04-26 00:00:00","lower"
"Forty-eight (48) hours notice, Tuesday 04-30-13.","SB 867","2013-04-26 00:00:00","lower"
"Passed Final Reading, as amended (CD 1). 25 Aye(s); Aye(s) with reservations: none . 0 No(es): none.  0 Excused: none.","SB 867","2013-04-30 00:00:00","upper"
"Passed Final Reading as amended in CD 1 with none voting aye with reservations; none voting no (0) and none excused (0).","SB 867","2013-04-30 00:00:00","lower"
"Received notice of Final Reading (Sen. Com. No. 755).","SB 867","2013-05-01 00:00:00","lower"
"Received notice of passage on Final Reading in House (Hse. Com. No. 761).","SB 867","2013-05-02 00:00:00","upper"
"Enrolled to Governor.","SB 867","2013-05-07 00:00:00","upper"
"Became law without the Governor's signature, Act 282, 7/9/2013, (Gov. Msg. No. 1388).","SB 867","2013-07-09 00:00:00","lower"
"Became law without the Governor's signature, Act 282, 7/9/2013, (Gov. Msg. No. 1388).","SB 867","2013-07-09 00:00:00","upper"
"Introduced.","SB 535","2013-01-18 00:00:00","upper"
"Passed First Reading.","SB 535","2013-01-22 00:00:00","upper"
"Referred to JDL.","SB 535","2013-01-22 00:00:00","upper"
"The committee(s) on JDL has scheduled a public hearing on 02-07-13 10:00AM in conference room 016.","SB 535","2013-02-04 00:00:00","upper"
"The committee(s) on  JDL recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in JDL were as follows: 4 Aye(s): Senator(s) Hee, Shimabukuro, Gabbard; Aye(s) with reservations: Senator(s) Ihara ; 1 No(es): Senator(s) Slom; and 0 Excused: none.","SB 535","2013-02-07 00:00:00","upper"
"Reported from JDL (Stand. Com. Rep. No. 493) with recommendation of passage on Second Reading, as amended (SD 1) and placement on the calendar for Third Reading.","SB 535","2013-02-28 00:00:00","upper"
"Report adopted; Passed Second Reading, as amended (SD 1). ","SB 535","2013-02-28 00:00:00","upper"
"48 Hrs. Notice 03-05-13.","SB 535","2013-02-28 00:00:00","upper"
"Passed Third Reading, as amended (SD 1). Ayes, 24; Aye(s) with reservations: none .  Noes, 1 (Senator(s) Slom). Excused, 0 (none).  Transmitted to House.","SB 535","2013-03-05 00:00:00","upper"
"Received from Senate (Sen. Com. No. 164) in amended form (SD 1).","SB 535","2013-03-05 00:00:00","lower"
"Pass First Reading","SB 535","2013-03-07 00:00:00","lower"
"Referred to LAB/EDB, JUD, referral sheet 30","SB 535","2013-03-07 00:00:00","lower"
"Bill scheduled to be heard by LAB/EDB on Friday, 03-15-13 11:00AM in House conference room 309.","SB 535","2013-03-12 00:00:00","lower"
"The committee(s) on LAB/EDB recommend(s) that the measure be deferred until 03-19-13.","SB 535","2013-03-15 00:00:00","lower"
"Bill scheduled for decision making on Tuesday, 03-19-13 11:25AM in conference room 309.","SB 535","2013-03-15 00:00:00","lower"
"The committees on LAB recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 7 Ayes: Representative(s) Nakashima, Hashem, Aquino, Ing, Takumi, Yamane, Yamashita; Ayes with reservations: none;  Noes: none; and 2 Excused: Representative(s) Ichiyama, Johanson.   ","SB 535","2013-03-19 00:00:00","lower"
"The committees on EDB recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 8 Ayes: Representative(s) Tsuji, Brower, Choy, Ohno, Onishi, Takayama, Tokioka; Ayes with reservations: Representative(s) Ward;  Noes: none; and 1 Excused: Representative(s) Cachola.   ","SB 535","2013-03-19 00:00:00","lower"
"Reported from LAB/EDB (Stand. Com. Rep. No. 1166) as amended in HD 1, recommending passage on Second Reading and referral to JUD.","SB 535","2013-03-22 00:00:00","lower"
"Passed Second Reading as amended in HD 1 and referred to the committee(s) on JUD with none voting aye with reservations; none voting no (0) and McKelvey, Takumi, Woodson excused (3).","SB 535","2013-03-22 00:00:00","lower"
"Bill scheduled to be heard by JUD on Thursday, 04-04-13  2:00PM in House conference room 325.","SB 535","2013-04-01 00:00:00","lower"
"The committees on JUD recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 10 Ayes: Representative(s) Rhoads, Har, Belatti, Brower, Carroll, Kawakami, C. Lee, Wooley; Ayes with reservations: Representative(s) Ito, Tsuji; 2 Noes: Representative(s) McDermott, Thielen; and 1 Excused: Representative(s) Cabanilla.   ","SB 535","2013-04-04 00:00:00","lower"
"Reported from JUD (Stand. Com. Rep. No. 1616) as amended in HD 2, recommending passage on Third Reading.","SB 535","2013-04-05 00:00:00","lower"
"Forty-eight (48) hours notice Tuesday, 04-09-13.","SB 535","2013-04-05 00:00:00","lower"
"Passed Third Reading as amended in HD 2 with Representative(s) Ward voting aye with reservations; Representative(s) Fale, Fukumoto, McDermott voting no (3) and none excused (0).  Transmitted to Senate.","SB 535","2013-04-09 00:00:00","lower"
"Received from House (Hse. Com. No. 533).","SB 535","2013-04-11 00:00:00","upper"
"Senate disagrees with House amendments.","SB 535","2013-04-11 00:00:00","upper"
"Received notice of disagreement (Sen. Com. No. 607).","SB 535","2013-04-11 00:00:00","lower"
"Senate Conferees appointed: Hee, Chair; Shimabukuro, Co-Chair(s); Gabbard.","SB 535","2013-04-15 00:00:00","upper"
"Received notice of Senate conferees (Sen. Com. No. 692).","SB 535","2013-04-15 00:00:00","lower"
"House conferees appointed: Nakashima, Tsuji, Rhoads Co-Chairs; Hashem, Johanson.","SB 535","2013-04-18 00:00:00","lower"
"Received notice of appointment of House conferees (Hse. Com. No. 704).","SB 535","2013-04-19 00:00:00","upper"
"Conference committee meeting scheduled for 04-24-13 10:30AM in conference room 325.","SB 535","2013-04-23 00:00:00","upper"
"Conference committee meeting to reconvene on 04-25-13 10:30AM in conference room 325.","SB 535","2013-04-24 00:00:00","upper"
"The Conference committee recommends that the measure be PASSED, WITH AMENDMENTS. The votes of the Senate Conference Managers were as follows: 3 Aye(s): Senator(s) Hee, Shimabukuro, Gabbard; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.","SB 535","2013-04-25 00:00:00","upper"
"The Conference Committee recommends that the measure be Passed, with Amendments. The votes were as follows: 5 Ayes: Representative(s) Nakashima, Tsuji, Rhoads, Hashem; Ayes with reservations: Representative(s) Johanson; 0 Noes: none; and 0 Excused: none.","SB 535","2013-04-25 00:00:00","lower"
"Reported from Conference Committee (Conf Com. Rep. No. 76) as amended in (CD 1).","SB 535","2013-04-25 00:00:00","lower"
"Forty-eight (48) hours notice Tuesday, 4-30-13","SB 535","2013-04-25 00:00:00","lower"
"Reported from Conference Committee as amended CD 1 (Conf. Com. Rep. No. 76).","SB 535","2013-04-25 00:00:00","upper"
"48 Hrs. Notice (as amended CD 1) 04-30-13.","SB 535","2013-04-25 00:00:00","upper"
"Passed Final Reading, as amended (CD 1). 24 Aye(s); Aye(s) with reservations: none . 1 No(es): Senator(s) Slom.  0 Excused: none.","SB 535","2013-04-30 00:00:00","upper"
"Passed Final Reading as amended in CD 1 with none voting aye with reservations; Representative(s) Fale, Fukumoto, Har, Ito, Jordan, McDermott voting no (6) and none excused (0).","SB 535","2013-04-30 00:00:00","lower"
"Received notice of Final Reading (Sen. Com. No. 755).","SB 535","2013-05-01 00:00:00","lower"
"Received notice of passage on Final Reading in House (Hse. Com. No. 761).","SB 535","2013-05-02 00:00:00","upper"
"Enrolled to Governor.","SB 535","2013-05-07 00:00:00","upper"
"Act 248, on 7/1/2013 (Gov. Msg. No. 1351).","SB 535","2013-07-09 00:00:00","lower"
"Act 248, 7/1/2013 (Gov. Msg. No. 1351).","SB 535","2013-07-09 00:00:00","upper"
"Introduced.","SB 69","2013-01-17 00:00:00","upper"
"Passed First Reading.","SB 69","2013-01-17 00:00:00","upper"
"Referred to PSM, WAM.","SB 69","2013-01-17 00:00:00","upper"
"The committee(s) on PSM has scheduled a public hearing on 01-31-13  3:00PM in conference room 224.","SB 69","2013-01-28 00:00:00","upper"
"The committee(s) on  PSM deferred the measure until 02-07-13  2:45PM in conference room 224.","SB 69","2013-01-31 00:00:00","upper"
"The committee(s) on  PSM recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in PSM were as follows: 3 Aye(s): Senator(s) Espero, Galuteria, Green; Aye(s) with reservations: none ; 1 No(es): Senator(s) Slom; and 1 Excused: Senator(s) Baker.","SB 69","2013-02-07 00:00:00","upper"
"Reported from PSM (Stand. Com. Rep. No. 334) with recommendation of passage on Second Reading, as amended (SD 1) and referral to WAM.","SB 69","2013-02-15 00:00:00","upper"
"Report adopted; Passed Second Reading, as amended (SD 1) and referred to WAM.","SB 69","2013-02-15 00:00:00","upper"
"The committee(s) on WAM has scheduled a public hearing on 02-20-13  9:45AM in conference room 211.","SB 69","2013-02-15 00:00:00","upper"
"The committee(s) on  WAM deferred the measure until 02-22-13 10:30AM in conference room 211.","SB 69","2013-02-20 00:00:00","upper"
"The committee(s) on  WAM deferred the measure until 02-27-13  9:00AM in conference room 211.","SB 69","2013-02-22 00:00:00","upper"
"The committee(s) on  WAM recommend(s) that the measure be PASSED, WITH AMENDMENTS.  The votes in WAM were as follows: 10 Aye(s): Senator(s) Ige, Chun Oakland, Dela Cruz, English, Espero, Kahele, Kouchi, Ruderman, L. Thielen, Tokuda; Aye(s) with reservations: none ; 2 No(es): Senator(s) Kidani, Slom; and 1 Excused: Senator(s) Keith-Agaran.","SB 69","2013-02-27 00:00:00","upper"
"Reported from WAM (Stand. Com. Rep. No. 805) with recommendation of passage on Third Reading, as amended (SD 2).","SB 69","2013-03-01 00:00:00","upper"
"48 Hrs. Notice 03-05-13.","SB 69","2013-03-01 00:00:00","upper"
"Report adopted; Passed Third Reading, as amended (SD  2). Ayes, 21; Aye(s) with reservations: Senator(s) Solomon, Taniguchi .  Noes, 3 (Senator(s) Keith-Agaran, Kidani, Slom). Excused, 1 (Senator(s) Kouchi).  Transmitted to House.","SB 69","2013-03-05 00:00:00","upper"
"Received from Senate (Sen. Com. No. 67) in amended form (SD 2).","SB 69","2013-03-05 00:00:00","lower"
"Pass First Reading","SB 69","2013-03-07 00:00:00","lower"
"Referred to PBS, JUD, FIN, referral sheet 30","SB 69","2013-03-07 00:00:00","lower"
"Bill scheduled to be heard by PBS on Thursday, 03-14-13  9:30AM in House conference room 309.","SB 69","2013-03-11 00:00:00","lower"
"The committees on PBS recommend that the measure be PASSED, WITH AMENDMENTS. The votes were as follows: 6 Ayes: Representative(s) Aquino, Ing, Hashem, Nakashima, Yamane, Yamashita; Ayes with reservations: none; 1 Noes: Representative(s) McDermott; and 2 Excused: Representative(s) Ichiyama, Takumi.   ","SB 69","2013-03-14 00:00:00","lower"
"Reported from PBS (Stand. Com. Rep. No. 984) as amended in HD 1, recommending passage on Second Reading and referral to JUD.","SB 69","2013-03-15 00:00:00","lower"
"Passed Second Reading as amended in HD 1 and referred to the committee(s) on JUD with Representative(s) Carroll, Fale, Fukumoto, Hanohano, Kawakami, McKelvey, Morikawa, Tokioka voting aye with reservations; Representative(s) McDermott voting no (1) and Representative(s) Mizuno, Oshiro, Takai excused (3).","SB 69","2013-03-15 00:00:00","lower"
"Bill scheduled to be heard by JUD on Tuesday, 03-19-13  2:00PM in House conference room 325.","SB 69","2013-03-15 00:00:00","lower"
"The committees on JUD recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 12 Ayes: Representative(s) Rhoads, Har, Belatti, Brower, Cabanilla, Carroll, Ito, Kawakami, C. Lee, Tsuji, Wooley, Thielen; Ayes with reservations: none; 1 Noes: Representative(s) McDermott; and  Excused: none.","SB 69","2013-03-19 00:00:00","lower"
"Reported from JUD (Stand. Com. Rep. No. 1201), recommending referral to FIN.","SB 69","2013-03-22 00:00:00","lower"
"Report adopted; referred to the committee(s) on FIN with Representative(s) Cheape, Fale, Fukumoto voting aye with reservations; Representative(s) McDermott voting no (1) and Representative(s) Hanohano, McKelvey, Takumi, Woodson excused (4).","SB 69","2013-03-22 00:00:00","lower"
"Bill scheduled to be heard by FIN on Thursday, 03-28-13  3:15PM in House conference room 308.","SB 69","2013-03-25 00:00:00","lower"
"The committees on FIN recommend that the measure be PASSED, UNAMENDED. The votes were as follows: 15 Ayes: Representative(s) Luke, Nishimoto, Johanson, Cullen, Hashem, Ing, Jordan, Kobayashi, Lowen, Onishi, Takayama, Yamashita, Fukumoto, Ward; Ayes with reservations: Representative(s) Morikawa;  Noes: none; and 2 Excused: Representative(s) Tokioka, Woodson.","SB 69","2013-03-28 00:00:00","lower"
"Reported from FIN (Stand. Com. Rep. No. 1436), recommending passage on Third Reading.","SB 69","2013-04-04 00:00:00","lower"
"Passed Third Reading with none voting aye with reservations; Representative(s) McDermott voting no (1) and none excused (0).  Transmitted to Senate.","SB 69","2013-04-04 00:00:00","lower"
"Received from House (Hse. Com. No. 432).","SB 69","2013-04-05 00:00:00","upper"
"Deferred until 04-09-13.","SB 69","2013-04-05 00:00:00","upper"
"Deferred until 04-11-13.","SB 69","2013-04-09 00:00:00","upper"
"Senate disagrees with House amendments.","SB 69","2013-04-11 00:00:00","upper"
"Received notice of disagreement (Sen. Com. No. 608).","SB 69","2013-04-11 00:00:00","lower"
"Senate Conferees appointed: Espero, Chair; Ige, Co-Chair(s); Green, Kahele, Kouchi.","SB 69","2013-04-15 00:00:00","upper"
"Received notice of Senate conferees (Sen. Com. No. 692).","SB 69","2013-04-15 00:00:00","lower"
"House conferees appointed: Aquino, Rhoads, Ing Co-Chairs; Ichiyama, Thielen.","SB 69","2013-04-15 00:00:00","lower"
"Received notice of appointment of House conferees (Hse. Com. No. 699).","SB 69","2013-04-16 00:00:00","upper"
"Conference committee meeting scheduled for 04-19-13 10:30AM in conference room 312.","SB 69","2013-04-17 00:00:00","upper"
"Senator(s) Ige discharged as (Co-) Chair; Added as conferee.","SB 69","2013-04-18 00:00:00","upper"
"Senator(s) Kouchi discharged as conferee(s); Added as Co-Chair(s).","SB 69","2013-04-18 00:00:00","upper"
"Received notice of change in Senate conferees (Sen. Com. No. 709).","SB 69","2013-04-18 00:00:00","lower"
"Conference committee meeting to reconvene on 04-23-13 10:30AM in conference room 312.","SB 69","2013-04-19 00:00:00","upper"
"Conference committee meeting to reconvene on 04-24-13 10:30AM in conference room 312.","SB 69","2013-04-23 00:00:00","upper"
"Conference committee meeting to reconvene on 04-26-13 10:30AM in conference room 312.","SB 69","2013-04-24 00:00:00","upper"
"The Conference committee recommends that the measure be PASSED, WITH AMENDMENTS. The votes of the Senate Conference Managers were as follows: 5 Aye(s): Senator(s) Espero, Kouchi, Green, Ige, Kahele; Aye(s) with reservations: none ; 0 No(es): none; and 0 Excused: none.","SB 69","2013-04-26 00:00:00","upper"
